price	worth
duff	pudding
alabama	muskhogean
play	gamble
close	prosecute
sigma	letter
barrel	vessel
find	get
frontier	discipline
beat	fight
wart	keratosis
improvisation	expedient
yogi	philosopher
flick	peruse
agreement	plan
fire	element
repudiate	refuse
genotype	constitution
jubilee	anniversary
redouble	intensify
morbidity	incidence
augur	predict
header	jump
monarch	danaid
foothold	support
bench	assembly
cyclone	atmosphere
lead	evidence
devastation	ruin
accumulate	increase
raspberry	berry
hulk	ship
abortion	termination
drone	bee
plum	position
perforation	puncture
goddess	deity
fennel	herb
radio	broadcast
intend	plan
inning	turn
blackjack	bludgeon
proprietorship	ownership
hazard	danger
fluke	tail
meteor	light
liquor	broth
ambulatory	walk
stagflation	inflation
nickel	fiver
comforter	device
swindler	deceiver
gravestone	stone
return	run
cuticle	skin
pitch	descend
quarrel	arrow
paintbrush	applicator
multitude	group
latch	fasten
plush	fabric
buzz	fly
confession	declaration
wedge	iron
ginseng	root
hull	calyx
bogeyman	monster
back	strengthen
trill	note
doctrine	belief
claimant	applicant
stratification	shape
forage	search
eternity	be
redundancy	configuration
establish	initiate
trap	carriage
misread	read
inoculation	immunization
khaki	fabric
current	flow
wiper	worker
salvation	safety
absorb	learn
moray	eel
corrupt	modify
man	adult
desert	leave
collect	take
count	number
mate	friend
scepter	reign
tudor	dynasty
clasp	fastener
crackdown	suppression
grain	texture
respect	see
suppose	speculate
stipulate	contract
curve	pitch
mat	pad
adolescent	juvenile
rip	attack
reserve	withhold
incision	depression
punter	kicker
grind	dance
hoop	gird
builder	material
suck	absorb
linkage	fasten
change	coin
drag	clothe
match	equal
batiste	fabric
qin	dynasty
minivan	car
examiner	investigator
wash	cleanse
trailer	conveyance
veto	power
turnaround	area
amputation	operation
authenticity	credibility
signpost	sign
objectification	representation
speed	motion
shipwreck	ruin
hop	vine
occur	become
lace	weave
ply	layer
blackberry	berry
stuff	information
antidote	remedy
reviewer	critic
burn	blemish
profanity	utterance
custom	trade
corollary	inference
coat	cover
rehabilitation	restoration
tint	color
distinction	difference
diminish	decrease
assignment	distribution
spill	liquid
gene	sequence
refit	outfit
confuse	mistake
masthead	title
action	act
voice	express
earn	get
mannequin	dummy
nab	seize
intervention	proceed
federal	yankee
envelope	curve
settle	put
steam	emit
mush	drive
smother	smoke
water	food
practice	activity
receivables	asset
sirloin	cut
chain	ligament
incarnation	time
concourse	merge
whine	travel
market	activity
betray	unwrap
dredge	remove
cheat	deception
bar	forbid
burn	damage
vicar	clergyman
militarism	hawkishness
facade	misrepresentation
rent	contract
whitewash	wash
slur	talk
rack	torture
minster	cathedral
checkout	counter
canine	carnivore
chow	fare
recompense	correction
submit	propose
papyrus	sedge
jump	move
cakewalk	accomplishment
largo	passage
convergence	series
treadmill	mill
canon	scripture
neuroscience	neurobiology
prohibition	law
legalize	permit
courtesy	manner
bullock	cattle
chloride	halide
torpedo	alarm
stale	make
foul	hit
rebate	discount
accession	record
zhou	dynasty
crack	hit
monsoon	rain
urologist	specialist
oregonian	american
multiplicity	magnitude
neglect	decline
bark	noise
mechanism	performance
claw	scratch
headway	progress
quintet	set
participant	associate
heel	follow
paddle	bat
stand	put
faucet	regulator
run	accompany
sequoia	cypress
mistress	woman
bran	chaff
drop	fall
brine	solution
xylene	solvent
compliment	praise
han	dynasty
arcade	structure
swear	declare
consist	be
race	contest
smut	mold
consortium	association
ethnic	person
hakim	muslim
mezzanine	floor
divide	disagreement
expose	abandon
impersonate	act
status	state
complication	disease
bungee	rope
argumentation	reason
please	satisfy
broad	woman
siamese	intake
prodigal	consumer
shelter	structure
toner	material
bottleneck	narrow
causality	relation
call	telecommunicate
address	direction
mat	mount
brake	restraint
believe	accept
get	annoy
pasta	dish
annoyance	anger
do	proceed
strengthen	transformation
dusk	darken
intersection	set
mate	singleton
shoot	expert
bath	washup
deride	mock
balance	match
toe	hit
eradication	destruction
crowd	gather
oilseed	seed
sill	rock
tout	scalper
keepsake	object
coordination	classification
compost	composition
wheel	helm
bow	decoration
condense	remove
completeness	logicality
darkness	scene
spray	scatter
open	motion
slow	weaken
ginger	herb
waterproof	protection
fifth	interval
operation	process
syndicate	form
squeeze	compression
browser	spectator
jelly	conserve
motivate	cause
shock	gather
review	proceed
coil	transformer
tory	rightist
cripple	weaken
throat	open
chip	droppings
shunt	passage
perfection	state
crotch	angle
knock	rap
assay	analyze
goalkeeper	position
lego	plaything
shoot	measure
leather	flog
mold	hallmark
architect	creator
suspect	guess
fleece	fabric
ferment	inflame
sauce	change
underworld	class
backwater	region
focus	concentration
crush	break
top	garnish
design	create
drizzle	rain
impress	seizure
service	company
afflict	damage
courage	spirit
cascade	waterfall
bead	jewelry
washingtonian	american
clerk	work
tart	pie
hash	chop
franchise	concession
manifestation	indication
light	device
strap	tie
tank	vessel
tunnel	passageway
dedicate	give
concoction	mix
bop	dance
genomics	genetics
act	performance
confusion	embarrassment
airliner	airplane
vowel	phone
obedience	submission
instill	insert
gallop	pace
sever	separate
ping	reach
plant	organism
draw	write
nation	confederation
bargain	purchase
partnership	contract
erupt	appear
dominion	state
rule	direction
civilization	society
path	way
forger	deceiver
eight	digit
solidarity	commonality
hug	touch
program	announcement
peregrine	falcon
accord	give
ala	wing
orphan	deprive
radical	character
typist	employee
silence	condition
joker	article
plaster	cover
sponge	erase
wind	injury
overlap	concurrence
tampax	tampon
felony	crime
practice	implementation
marsupial	metatherian
rend	tear
word	language
clamp	inflict
utter	organism
ghost	soul
syringe	spray
spar	equip
escalation	increase
holder	owner
dissertation	treatise
balkan	european
hardware	component
grow	cultivate
man	staff
apache	gangster
bustle	move
outrun	run
roll	turn
eye	look
fruition	use
rally	feat
burden	concern
cruelty	maltreatment
nightgown	nightwear
budget	fund
orbit	path
yoke	support
see	receive
sleeper	furniture
fuse	equip
presumption	discourtesy
draw	remove
collage	collection
town	municipality
greet	address
intonation	prosody
motivation	condition
efficacy	effectiveness
yoke	connection
impression	portrayal
curtailment	shortness
music	punishment
relate	tell
godson	godchild
configuration	design
cornish	brythonic
earth	hide
underboss	assistant
qualify	remember
whisk	broom
frankness	communicativeness
mouse	person
mind	cognition
equate	equal
challenge	question
research	investigation
error	failure
cosmopolitan	sophisticate
trio	set
nod	gesture
mast	spar
fuse	light
axis	stalk
inconsistency	nonuniformity
crunch	noise
brunch	meal
consumerism	campaign
proximity	vicinity
chisel	carve
jitterbug	dance
spur	prod
fire	fuel
wrath	fury
sin	transgression
fortune	treasure
lamb	green
reason	fact
arm	supply
materiel	equipment
march	walk
grind	noise
expedite	action
catastrophe	adversity
condense	change
redemption	rescue
tortilla	pancake
compose	make
invite	interact
seduction	enticement
phosphate	salt
least	matter
glorification	adoration
orphan	child
call	order
mouth	feign
specification	description
deflator	factor
pant	noise
brand	tag
matron	woman
design	gestate
skinhead	bully
chadian	african
reprieve	warrant
muzzle	equip
history	continuum
flank	subfigure
station	move
succession	order
read	datum
suture	seam
beak	tip
racket	enterprise
force	compel
grain	atom
hutu	bantu
trident	spear
kingdom	domain
sling	move
capture	acquire
shang	dynasty
hope	person
thicken	material
toast	honor
push	urge
reduce	de-emphasize
tax	levy
thuggery	crime
diffusion	spread
declare	authorize
pick	device
large	size
oriental	asian
calvary	affliction
crepe	paper
date	stamp
frenchman	european
hurdle	barrier
forgiveness	kindness
sagebrush	subshrub
double	bid
shape	concretism
inside	region
approach	conceptualization
meditation	contemplation
astronaut	traveler
refuge	shelter
speck	spot
simulation	technique
insure	protect
forge	furnace
heighten	increase
obscure	change
hawaiian	oceanic
volley	hit
answer	statement
nightgown	lingerie
barrier	obstruction
immunity	condition
amortization	payment
brother	friend
breakage	reimbursement
spoon	cutlery
wrap	cover
label	description
rib	support
vulnerability	weakness
exposure	influence
expel	move
adonis	daemon
fun	activity
lentil	legume
sport	occupation
olympian	athlete
dizzy	change
tank	drink
clarification	interpretation
pinnacle	surmount
claw	make
voice	pronounce
union	organization
ream	enlarge
reinforce	teach
buckle	fasten
resultant	degree
malian	african
cafe	restaurant
pottery	workshop
essence	substance
blizzard	storm
complete	fill
blackberry	drupelet
centrist	adult
catch	perceive
play	diversion
relegation	categorization
paganism	religion
simulcast	broadcast
beat	strike
fijian	oceanic
decency	propriety
levant	abscond
pique	fabric
newscaster	announcer
profile	chart
anise	flavorer
dial	control
fatwa	opinion
hate	dislike
plate	illustration
concern	interest
yuma	hokan
cloister	surround
drag	tediousness
skyscraper	build
whip	instrument
germanium	semiconductor
negligence	carelessness
lift	change
gate	restrict
assault	attack
expose	subject
socialize	interact
oar	implement
bongo	drum
tear	drop
blinker	light
check	obstruct
suck	consumption
anguish	distress
train	activity
abdication	resignation
mace	staff
go	be
settle	change
engage	touch
lubricant	substance
set	stage
arrow	projectile
anchor	hook
settler	negotiator
instrument	device
bong	resound
return	arrival
transfer	travel
discovery	act
headdress	clothe
bolshevik	radical
lengthen	increase
sneak	walk
garlic	flavorer
back	confirm
section	slice
davenport	convertible
irreverence	evil
represent	re-create
centipede	arthropod
pompadour	hairdo
architecture	profession
lead	advantage
halter	hang
review	exercise
passerby	pedestrian
discovery	insight
toggle	supply
transmission	send
retailer	merchant
sop	concession
acclaim	applaud
study	memorizer
collegian	student
accommodation	settlement
spot	marker
whittle	cut
increase	amount
fork	branch
hike	raise
divorce	separation
mailbox	box
peavey	lever
fortify	add
teaspoon	spoon
downsize	reduce
variation	change
prefect	administrator
trouble	pregnancy
jungle	location
vitamin	nutriment
finish	completion
keyboard	holder
technology	application
wan	sicken
sikh	disciple
hood	criminal
texture	musicality
clean	shopkeeper
sari	dress
group	unit
sidebar	consultation
device	instrumentality
differentiate	calculate
error	misconception
flutter	beat
mandarin	citrus
compression	shrink
restlessness	nervousness
aqueduct	conduit
keeper	defender
seine	fish
ritz	ostentation
shoulder	thrust
warhead	explosive
reclaim	recycle
first	honour
senegalese	african
button	badge
cheek	talk
creep	fear
brit	copepod
come	originate
distillate	liquid
repatriate	extradite
post	list
liberalize	change
frock	dress
jag	flap
negative	denial
endocrinologist	specialist
linguistics	science
accrue	increase
highness	aristocrat
soup	composition
gringo	foreigner
fibrillation	branch
treatment	care
child	person
accusation	assertion
reversal	turn
lean	put
bar	barrier
hindsight	understand
witness	perceiver
loon	idle
hex	spell
guide	leader
tibetan	himalayish
implementation	act
approval	acceptance
birthright	inheritance
recapture	take
get	seize
bankruptcy	insolvency
raise	bet
kale	crucifer
yugoslav	european
catch	acquire
fire	happen
spray	application
turn	travel
coup	success
deposition	ouster
alpha	letter
coptic	egyptian
fleet	collection
cyberpunk	writer
decency	respectability
rodeo	exhibition
colt	foal
teak	tree
villager	inhabitant
jockey	horse-race
shop	buy
neighbor	person
minion	dependant
slave	person
sweep	wipe
behave	hold
zone	structure
present	tense
sampler	embroidery
ascent	slope
recast	cast
flask	containerful
disturbance	disorder
train	ride
mixer	beverage
libertarian	philosopher
dentistry	medicine
tissue	paper
ebb	flow
virginal	harpsichord
kiss	touch
revolutionize	change
mouth	touch
sobriety	temperance
swarm	group
rethink	think
tarnish	stain
ritual	practice
rear	raise
score	record
science	discipline
dispose	determine
boiler	vessel
victorian	person
geek	performer
drinker	consumer
floor	surface
nexus	series
steam	cook
cable	telegram
expect	evaluate
humiliation	case
factor	number
fairway	site
recycle	use
passivity	inactiveness
cat	gossip
pest	animal
turn	senesce
correction	improvement
solution	set
convener	caller
specialist	doctor
bow	stroke
shatter	burst
treachery	dishonesty
calm	comfort
appreciation	understand
fingerprint	procedure
subjugation	relationship
levy	conscription
landscape	genre
hear	modality
funnel	move
kylie	boomerang
battery	artillery
screwdriver	cocktail
post	call
poison	substance
ford	traverse
augment	grow
caption	title
riddle	sift
green	vegetable
cameroonian	african
cause	act
sell	persuade
lander	spacecraft
riverbank	bank
capstone	stone
open	space
requiem	mass
washer	worker
casserole	dish
rationalization	simplification
house	dwell
lift	wave
hang	fit
draw	representation
pimple	acne
pilgrim	believer
initiate	cause
hoax	deceive
hay	fodder
devise	gift
overcast	sew
litter	strew
rig	formation
difference	change
lather	froth
dignity	pride
fame	repute
kern	supply
jettison	throw
hop	jump
rod	bacteria
rival	contestant
offset	make
inflammation	arousal
recycle	cycle
scandinavian	european
congolese	african
rub	touch
occult	conceal
inscription	write
principal	debt
italian	romance
mention	award
pollard	ruminant
tariff	tax
portray	represent
daniel	judge
discouragement	disapproval
removal	dismissal
mind	notice
good	change
reservation	agreement
freak	mutant
magazine	publisher
trial	contest
ship	conveyance
sepsis	infection
wine	drink
bible	handbook
snuff	char
lifeblood	blood
spank	beat
incline	low
gambler	adventurer
squeeze	movement
pittance	payment
slag	scum
cot	bed
nutrition	science
clog	fill
grasshopper	cocktail
nick	cut
inferior	follower
cost	reimbursement
holster	belt
double	hit
tact	consideration
endow	give
motor	agent
insight	understand
revisionist	communist
temperature	somesthesia
duplicity	deception
throw	propel
subpoena	serve
press	machine
truffle	fungus
flemish	dutch
block	anesthetize
affiliate	associate
buoyancy	cheerfulness
tone	talk
aspirin	salicylate
miro	conifer
leave	faction
fire	combustion
plank	serve
lynch	murder
volume	measure
guide	orient
pi	letter
anger	emotion
top	region
usher	lead
overflow	flow
newspaper	paper
pathos	quality
proclaim	declare
verification	affidavit
duke	lord
waste	devolve
anesthesiology	medicine
gutter	run
dive	match
prize	gift
hook	implement
estimate	statement
shroud	cover
clog	coalesce
price	reward
revelation	insight
convertible	security
approve	evaluate
devastation	deterioration
rumble	seat
share	asset
decay	decrease
cross	voyage
kurdistan	rug
begin	talk
tom	black
cover	protect
waterline	line
nip	bite
sewage	waste
sprawl	spread
bride	participant
suffer	feel
condemn	denounce
multiply	calculate
count	include
menorah	candelabrum
geezer	man
retake	take
imperialism	control
lace	cord
luster	brightness
peck	strike
defy	elude
heavyweight	prizefighter
trail	path
set	exercise
drum	vessel
draw	run
bacillus	eubacteria
electrocution	kill
constituent	voter
symptom	indication
check	draw
approach	address
assumption	miracle
drive	power
bromide	halide
highland	scot
counterweight	oppose
scallop	bivalve
surmise	deduce
tee	connect
halt	disable
referee	official
subcontract	hire
lifesaving	rescue
flip	react
autograph	write
superhighway	network
genesis	begin
ask	request
connect	join
saran	thermoplastic
horst	crust
negativity	amount
motion	state
strain	tighten
loyalist	supporter
dowdy	pastry
intrigue	plot
chess	brome
sterilization	operation
bugle	bead
overhaul	care
commune	communicate
exhaustion	fatigue
make	be
ping	hit
solidity	dependability
stick	limb
resolution	remission
topic	content
oktoberfest	lager
wipe	rub
view	analyze
taste	exteroception
ripple	flow
hinge	joint
youth	youngness
order	rule
contain	be
internment	captivity
siege	blockade
manipulate	interact
cramp	suffer
draw	steep
summation	summary
composition	mixture
spin	revolve
layer	shape
give	make
induce	effect
dagger	character
inhabit	be
bench	remove
pitch	set
slap	blow
conjure	magic
reprisal	retaliation
emptiness	condition
food	substance
voodoo	hex
sacrifice	release
shrug	gesture
tau	letter
warpath	way
rehabilitate	reinstate
tease	ridicule
elimination	removal
grip	seize
end	destroy
nourishment	care
jam	interrupt
spill	move
relay	communicate
goose	pump
frisbee	disk
variation	theme
drawback	disadvantage
galley	vessel
verify	confirm
thatch	roof
bifurcation	furcation
rocker	trough
array	clothe
feast	host
subordinate	low
spiritualism	belief
extend	increase
rust	fungus
walk	compel
rod	implement
gelatin	dainty
sixth	rank
gull	deceive
trio	gather
puppy	dog
storm	disturbance
freeze	withhold
low	move
standardization	condition
slippage	decline
advent	arrival
juggle	cheat
air	dry
argus	giant
distress	pain
wealth	property
hog	lamb
hour	distance
prepare	educate
impress	affect
default	loss
serve	spend
metropolitan	archbishop
folk	kin
lunch	eat
screech	noise
try	pain
act	perform
lyricist	writer
equal	change
cappuccino	coffee
transformation	change
characteristic	quality
thigh	limb
lebanese	asian
yawn	breathe
slime	dirty
alpaca	wool
student	enrollee
salt	preserve
leverage	advantage
mane	hair
tourney	contend
centerpiece	decoration
associate	think
present	introduce
rotisserie	oven
swamp	flood
mascara	makeup
shade	semidarkness
oust	supplant
religiosity	devoutness
terminal	station
enrichment	improvement
animosity	hostility
second	attendant
profess	claim
figure	impression
representation	statement
wait	work
labor	undergo
grove	garden
plant	farm
wrap	crash
exponent	intellectual
scalp	sell
bun	bread
assassinate	defame
counterpoint	compose
huntress	hunter
eraser	implement
tinker	itinerant
focus	point
propane	gas
reduce	simplify
overflight	flight
form	become
give	lead
upgrade	good
leave	produce
subtract	calculate
europe	collection
heave	throw
hairdressing	toiletry
lawsuit	proceed
hunt	oscillate
hook	steal
humor	quality
mask	disguise
caucus	meet
romance	lie
speedometer	meter
prime	number
tread	contact
walk	travel
cleanup	position
devolution	delegate
judge	decide
steamer	travel
patriarch	man
outrage	atrocity
worry	rub
harrow	cultivator
penetration	attack
draw	represent
show	race
trumpet	proclaim
stifle	suppress
salt	flavorer
blame	reproach
softness	indulgence
dune	ridge
timidity	fearfulness
suggest	imply
hoe	tool
brick	ceramic
beam	piece
sling	throw
variance	dispensation
make	guarantee
sanguine	red
deal	result
tone	sound
prowl	walk
kennel	shelter
lurch	motion
comfort	support
swedish	scandinavian
lullaby	song
film	medium
chock	fasten
imagination	creativity
kashmiri	indian
observer	expert
lace	liquor
brace	rope
chase	frame
roll	change
safeguard	escort
governor	control
mutiny	rebellion
brassiere	undergarment
box	area
telecast	broadcast
grind	connect
lady	fuchsia
commonwealth	state
roll	move
cell	room
compile	make
confront	front
rub	guide
optometrist	specialist
portuguese	romance
seine	fishnet
step	locomotion
impregnate	inseminate
stripe	mark
brown	cook
crowbar	lever
accident	mishap
surmount	head
bravo	cheer
slack	idle
sac	cavity
base	electrode
manor	estate
leader	person
thing	situation
glimpse	see
trip	step
buffet	hit
thwart	prevent
stravinsky	music
brink	boundary
bask	lie
dream	perceive
ride	float
touch	manage
shorten	decrease
rendition	persecution
misinterpretation	interpretation
back	position
break	disperse
wean	estrange
scat	leave
point	mark
saddle	cut
deluge	fill
polemic	controversy
rocket	rise
choke	disorder
minimalist	artist
upright	piano
press	push
buildup	promotion
ewe	african
exert	act
lash	fastener
humanitarianism	doctrine
coward	person
balcony	structure
citizen	national
tunnel	penetrate
automobile	travel
corollary	consequence
bavarian	german
butane	gas
bogey	shoot
roe	egg
broth	soup
gait	locomotion
blogger	person
graft	join
oglala	siouan
rest	recumb
hack	horse
last	activity
sandbag	hit
settle	stabilize
education	upbringing
distribution	act
hajji	iraqi
sunburn	erythema
salaam	salute
surround	touch
offload	transfer
slush	water
attraction	quality
undertone	shade
rush	outburst
willingness	disposition
sin	transgress
diarrhea	symptom
backstop	fence
spell	alternate
bracket	edit
spike	develop
scandal	gossip
tongue	lick
rider	traveler
pop	throw
jumper	athlete
lap	sphere
chuck	throw
shipwreck	fail
regurgitate	fee
conspire	plot
charge	rush
nazism	fascism
judgment	act
ditty	song
node	computer
value	duration
ensign	color
colleen	girl
almanac	annual
corn	grain
stock	provision
tiller	lever
trench	fortify
chassis	skeleton
zionist	jew
shallow	change
convey	transfer
ease	travel
cocoon	retreat
feign	misrepresent
gleam	flash
destabilize	change
give	execute
proliferation	growth
wax	cover
corner	intersection
unknown	region
mastery	domination
column	article
mudslide	landslide
triumph	exultation
arousal	wakefulness
absorb	blend
attache	specialist
thrower	person
wall	difficulty
morse	code
mountainside	slope
lift	dig
niche	condition
potency	power
shipper	company
kirk	church
reception	party
headhunter	recruiter
pontoon	float
sprinkle	wet
drift	wander
row	line
clap	gesticulate
doctor	scholar
line	formation
axis	line
proof	change
grind	hit
exorcism	supernaturalism
teardrop	drop
die	cube
confront	meet
wash	watercolor
lead	induce
patronize	support
abolitionist	reformer
cameo	anaglyph
pillbox	case
distribute	be
plate	containerful
dormitory	bedroom
bolt	move
abnormality	misbehavior
costume	attire
hairdo	hair
pad	fill
topography	geography
tube	supply
maya	amerind
photography	process
knuckle	press
entomology	zoology
leper	outcast
rack	fly
journal	book
impression	publication
endorse	sign
heave	lift
insert	section
apologist	advocate
disruption	disturbance
memoir	essay
complexion	tint
pant	utter
sour	spoilage
ewe	sheep
tuft	bunch
conduct	administration
estimate	calculate
don	gentleman
sediment	matter
allow	assign
tackle	lineman
troll	talk
eliminate	remove
membership	body
slack	neglect
complaint	cry
triple	multiply
brine	drench
life	experience
bias	partiality
undertow	inclination
fall	sin
refute	disown
sidewinder	rattlesnake
render	give
fuss	perturbation
dial	operate
artifact	whole
square	simpleton
dispenser	supplier
submersible	apparatus
acceleration	change
starve	suffer
groin	area
sponsorship	support
craftsman	creator
sanatorium	hospital
sprocket	roller
definition	distinctness
cheeseburger	hamburger
stroke	mark
tory	american
page	attendant
bachelor	man
perfume	groom
salamander	amphibian
lancer	cavalryman
destiny	happen
counselor	supervisor
proton	nucleon
give	think
marriage	union
pall	change
concentrate	think
wallflower	flower
cat	cattail
portage	track
collaborate	work
servant	worker
contraction	decrease
ferment	substance
haste	motion
vouch	summon
statistic	datum
shoot	hit
assign	evaluate
retina	membrane
bitter	taste
juggle	manage
restriction	restraint
convert	change
trade	sell
term	constituent
grey	clothe
bulb	stalk
line	insulation
kite	fly
czechoslovakian	european
protest	oppose
park	maneuver
linen	fabric
line	reinforce
advancement	development
charge	accuse
episode	happen
grasp	hold
igloo	hovel
tan	craftsman
reincarnation	embodiment
fang	bantu
hominid	primate
ability	cognition
gloss	explanation
jerk	weightlift
osage	dhegiha
dissenter	person
surface	ascend
regiment	delegate
harlequin	clown
carry	influence
lean	throw
complaint	objection
twentieth	rank
infection	illegality
roller	wave
flaunt	expose
registration	entrance
sleep	rest
collision	dispute
shudder	tremble
dip	dunk
accession	increase
castle	move
contemplation	consideration
traitor	criminal
attendance	company
way	artifact
chink	sound
khan	ruler
sparkle	be
arrears	indebtedness
lull	hush
quiz	examine
godfather	patron
kink	person
slate	cross-file
quarter	division
analysis	calculus
ma	mother
gap	open
rhythm	prosody
jack	ball
part	tune
completion	termination
valuation	price
square	adjust
harbor	keep
tornado	cyclone
playground	yard
beset	assail
ephedrine	bronchodilator
orphan	young
grist	grain
adjuster	investigator
plumb	quantify
pullback	withdrawal
marxist	advocate
thistle	weed
main	pipe
aggression	combat
luddite	workman
gradual	antiphon
whale	cetacean
serve	deliver
emphasis	importance
retainer	fee
work	activity
hose	garment
scrape	rub
wash	be
replication	repetition
trier	person
subscribe	buy
pickup	corrective
blackmailer	criminal
bondage	subjugation
touch	somatosense
pass	succeed
evacuate	excrete
fog	atmosphere
tunisian	african
wait	act
spacewalk	walk
oneida	iroquois
present	gift
business	concern
asthmatic	person
trail	track
windmill	mill
gloom	semidarkness
tier	rival
hammerhead	head
bog	wetland
propriety	demeanor
provide	give
anomaly	abnormality
contemplative	person
crystallize	solidify
vestibule	cavity
waste	use
symphony	sonata
shank	part
democrat	politician
damp	wetness
cutlery	tableware
pulse	legume
phrase	construction
combat	battle
julienne	cut
wilton	rug
sugarloaf	sugar
vicinity	section
potential	possibility
statesmanship	wisdom
wardrobe	furniture
arm	mobilization
mouthpiece	aperture
interlock	embrace
individuality	trait
yodel	cry
bootleg	produce
make	tidy
willow	tree
skip	bounce
plantation	estate
responsiveness	sensitivity
kaleidoscope	plaything
clone	copy
conspirator	criminal
disfigurement	appearance
sprawl	lie
exercise	effort
brim	fill
weather	decay
torturer	oppressor
timorese	asian
honeymoon	vacation
mayhem	crime
biochemist	chemist
soup	dope
chatter	talk
equipment	instrumentality
pro	argument
scramble	struggle
poll	survey
repatriate	citizen
loft	floor
division	separation
cotton	shrub
invest	spend
citizenry	group
view	purpose
naturalness	quality
slammer	close
pole	hold
topaz	quartz
polystyrene	styrene
seawater	water
stalker	hunter
nineteenth	rank
deference	courtesy
cap	limit
hamburger	sandwich
pocket	pouch
coloration	color
verdict	find
shell	house
bran	roughage
phalanx	crowd
outdo	beat
articulation	expression
overexposure	exposure
transpose	change
pervert	use
unearth	locate
quarry	production
churn	vessel
suspend	change
justify	confirm
rally	convalescence
patronize	interact
intercept	catch
calyx	coil
read	interpret
lie	be
eskimo	indian
riverbed	bed
modernism	practice
avalanche	happen
seek	movement
artist	creator
harmonize	change
date	determine
adapt	change
hold	continue
enunciation	articulation
couscous	dish
ouster	ejection
minimalist	conservative
moo	cry
lob	throw
expand	grow
orgasm	consummation
popper	cooker
jackpot	prize
slash	cut
enemy	adversary
drudge	laborer
way	share
chamberlain	steward
slant	bias
ferry	transportation
administration	justice
sprinkle	scatter
rack	gait
achiever	person
public	body
septet	gather
inquiry	investigation
wing	help
seder	supper
jog	nudge
volunteer	serviceman
yoke	oppression
dictate	read
nightlife	entertainment
pronunciation	speech
mast	pole
tolerance	attitude
clear	free
head	toilet
facility	artifact
validate	change
solve	understand
tambourine	drum
tunic	cloak
snake	wind
curtain	barrier
spin	rendition
pennant	flag
gag	joke
list	move
mozambican	african
rule	draw
drape	arrange
discretion	liberty
down	turn
barnacle	crustacean
trace	draw
remand	return
link	instruction
puller	mover
truss	hold
hypocrite	deceiver
trade	exchange
liability	possession
action	mechanism
crash	hurl
horseman	rider
ammunition	information
reload	load
toy	device
market	trade
wit	message
disapprove	evaluate
might	strength
slave	worker
admissibility	acceptability
survey	analyze
cripple	maim
halt	stop
fuzz	beard
portico	porch
hovercraft	craft
redistribute	spread
bind	hindrance
quirk	twist
democrat	advocate
hyperactivity	disorder
breach	open
confederate	accessory
sense	awareness
circle	ellipse
flour	dredge
commute	journey
coast	glide
cirrus	tendril
carry	compensate
health	wellbeing
lurch	travel
refine	purify
excommunication	banishment
idleness	inactivity
come	travel
flinch	move
intensify	increase
tumble	drop
bend	section
school	educate
embarrass	upset
pad	leaf
gadfly	fly
evert	turn
milk	draw
finish	taste
reminiscence	memory
counteroffensive	offense
haywire	wire
particle	body
reinterpretation	interpretation
ice	object
soak	impregnate
challenge	invite
line	fill
dissent	disagreement
fratricide	murderer
rectangle	parallelogram
duck	poultry
deliberation	thoughtfulness
insert	attach
spymaster	master
cultivate	fix
overdrive	action
trap	confine
materiality	quality
qualify	pronounce
disadvantage	liability
flap	wave
munition	arm
consume	destroy
jersey	knit
lecture	address
bolt	abandonment
overuse	use
stain	dye
trappist	monk
abundance	quantity
disintegrate	change
disinfectant	agent
darkroom	room
andromeda	shrub
mire	dirty
exhaust	system
bannister	barrier
calculator	machine
gulp	drink
trouble	difficulty
pass	juncture
notary	official
savory	dainty
source	facility
smear	rub
martini	cocktail
asp	viper
level	aim
satin	fabric
drag	pull
wrench	injury
midair	point
snake	weave
set	arrange
godspeed	success
caliphate	jurisdiction
exclusive	report
norwegian	european
flag	tail
backbone	connection
draw	finish
health	condition
hammer	striker
cover	concealment
repose	put
scale	leaf
deal	interchange
hindrance	difficulty
plaster	mixture
appraisal	classification
microcosm	model
girdle	incise
conversion	exchange
pipeline	pipe
boycott	ostracize
attest	show
bandit	thief
elegance	quality
fielder	cricketer
transact	interact
patrol	guard
digging	excavation
multiplex	cinema
picker	person
juggle	poise
call	instruction
expectation	belief
argyle	sock
fasten	join
headband	band
item	whole
inflexibility	rigidity
yoke	attach
journal	axle
van	car
continuum	time
wave	hairdo
revisionism	bolshevism
diary	write
lombard	european
handout	announcement
suffocation	kill
grail	aim
administration	management
wet	workman
infiltrator	intruder
creche	representation
tease	disentangle
mumble	utterance
audit	analyze
pull	side
letter	text
adaptation	alteration
ration	fare
guillotine	decapitate
churn	move
tutelage	teach
puddle	plant
progression	series
infamy	disrepute
core	bar
reject	refuse
bowl	throw
make	estimate
sling	hold
crown	coin
prediction	reason
beat	agitate
lightweight	boxer
slot	position
motion	change
page	utterance
decommission	recall
draw	create
scuttle	container
consistency	uniformity
deem	see
islamist	scholar
plaintiff	litigant
plead	apologize
pare	object
gravity	attraction
sock	hosiery
bathroom	room
enlistment	commitment
sturgeon	ganoid
wring	squash
constipation	symptom
sponge	wipe
babble	chatter
boogie	dance
track	bar
poultry	bird
attainment	arrival
ferment	seethe
reallocation	allotment
weatherman	meteorologist
clinch	settle
emigration	migration
